streams,stream,category,category_conf,source_name,source_url,source_method,title,summary,link,published_iso,country_infer,is_SCANDI,is_usa,debate_score,__base_score,model_final
main,main,Politikk,0.55,The Guardian (UK),https://www.theguardian.com/uk,rss,How we can reform community sentencing | Letters,"<p>A plan to name and shame people doing community service is wrong, says <strong>Ruth Windle</strong>.<strong> </strong>Plus a letter from <strong>Peter Fellows</strong></p><p>The idea that naming and shaming offenders will “build confidence” in community sentences is beyond belief (<a href=""https://www.theguardian.com/law/2025/sep/26/offenders-unpaid-work-england-wales-could-be-named-and-shamed"">Report, 26 September</a>). I&nbsp;thought we had moved beyond the middle ages. Do ministers not realise that this is playing to the mob and the politics of revenge?</p><p>People serving community sentences have already faced the courts and publicly carried out their sentencing. To name and shame adds to their humiliation and the sense that they are pariahs in society. It incites (to my mind, justifiably) resentment. How is this rehabilitation? How does it build a&nbsp;more cohesive and caring society? What builds confidence in community sentencing is that it can&nbsp;boost offenders’ sense of having&nbsp;something to contribute to&nbsp;their local community&nbsp;and&nbsp;society at large.<br /><strong>Ruth Windle</strong><br /><em>Frome, Somerset</em></p> <a href=""https://www.theguardian.com/law/2025/sep/28/how-we-can-reform-community-sentencing"">Continue reading...</a>",https://www.theguardian.com/law/2025/sep/28/how-we-can-reform-community-sentencing,2025-09-28T15:55:55+00:00,INT,False,False,2.422413637499252,2.422413637499252,5nano
main,main,Politikk,0.55,The Guardian (UK),https://www.theguardian.com/uk,rss,Watching Caerphilly: Welsh byelection may be bellwether for political transformation in UK,"<p>Plaid Cymru and Reform are polling above Welsh Labour in race for Senedd seat experts say may be ‘canary in the coalmine’</p><p>Usually, a Welsh parliament byelection in Caerphilly would probably not attract huge attention away from its rolling green hills and post-industrial townscapes.</p><p>But these are not normal times and the result of next month’s ballot in this corner of south Wales may have ramifications across the UK.</p> <a href=""https://www.theguardian.com/uk-news/2025/sep/28/watching-caerphilly-welsh-byelection-may-be-bellwether-for-political-transformation-in-uk"">Continue reading...</a>",https://www.theguardian.com/uk-news/2025/sep/28/watching-caerphilly-welsh-byelection-may-be-bellwether-for-political-transformation-in-uk,2025-09-28T13:23:07+00:00,INT,False,False,2.274673794884306,2.274673794884306,5nano
main,main,Politikk,0.55,The Guardian (UK),https://www.theguardian.com/uk,rss,Keir Starmer’s donkey field: what are the allegations and how has he responded?,"<p>PM denies putting land he bought for his parents into a trust, after report claims he may have done to avoid inheritance tax</p><ul><li><p><a href=""https://www.theguardian.com/politics/live/2025/sep/28/labour-conference-keir-starmer-latest-uk-politics-news-live-updates"">Labour conference – live updates</a></p></li></ul><p>Keir Starmer found himself taking questions about a field for donkeys that he bought for his parents in 1996 as he gave an interview to the BBC’s Laura Kuenssberg at the start of the Labour conference.</p><p>The Sunday Times had asked whether he put the field in a trust for his parents and allowed it to revert to him on their death as a way of avoiding any future inheritance tax liability. He categorically denied that this was the case.</p> <a href=""https://www.theguardian.com/politics/2025/sep/28/keir-starmer-donkey-field-what-are-allegations-how-has-he-responded"">Continue reading...</a>",https://www.theguardian.com/politics/2025/sep/28/keir-starmer-donkey-field-what-are-allegations-how-has-he-responded,2025-09-28T12:57:05+00:00,INT,False,False,2.2592267047149264,2.2592267047149264,5nano
main,main,Politikk,0.55,Helsinki Times (EN),https://www.helsinkitimes.fi/,rss,Government to cut unemployment benefits for immigrants lacking language skills,"<div class=""feed-description""><p><img src=""https://www.helsinkitimes.fi/images/2025/09/immigrant_unemployment.jpg"" /></p><p><strong>The Finnish government</strong> plans to reduce unemployment benefits for immigrants who cannot demonstrate proficiency in Finnish or Swedish. A new <a href=""https://www.helsinkitimes.fi/finland/finland-news/domestic/28017-usu-finland-to-tighten-migrant-social-security-with-new-laws.html"" rel=""noopener noreferrer"" target=""_blank"">integration allowance</a> will replace part of the existing jobseeker’s support for this group, with lower monthly payments unless language or work requirements are met.</p>
<p>Social Security Minister <strong>Sanni Grahn-Laasonen</strong> confirmed to <em><a href=""https://www.ess.fi/uutissuomalainen/8874760"" rel=""noopener noreferrer"" target=""_blank"">Uutissuomalainen</a></em> that a draft of the proposal will be circulated for public consultation later this year. The plan is intended to encourage employment and language acquisition among immigrants.</p>
</div>",https://www.helsinkitimes.fi/finland/finland-news/domestic/28036-government-to-cut-unemployment-benefits-for-immigrants-lacking-language-skills.html,2025-09-28T14:30:27+03:00,FI,False,False,2.2183610016465893,2.2183610016465893,5nano
main,main,Politikk,0.55,NRK – Toppsaker,https://www.nrk.no/,rss,Ritzau: Leger Uten Grenser evakuerer alle ansatte ut av Gaza by,"Byen vurderes ikke lenger som trygg siden israelske soldater rykker fram, sier de.
– Vi har ikke noe annet valg enn å stanse vår virksomhet, da våre klinikker er omringet av israelske styrker. Dette er det siste vi ønsket, opplyser organisasjonens danske avdeling.
– Behovene i Gaza by er enorme, og de mest sårbare pasientene – for tidlig fødte spedbarn og personer med alvorlige traumeskader og livstruende sykdommer – har ingen andre steder å gå og er i alvorlig fare, sier katastrofekoordinator Jacob Granger i en pressemelding.
Israels blodige frammarsj fortsetter fredag med nye 51 drepte palestinere og flere titalls sårede. Redningsarbeidere fortsetter å lete gjennom ruinene etter flere ofre.
Leger Uten Grenser opplyser ikke hvor mange medarbeidere de har i Gaza by.
(NTB)",https://www.nrk.no/nyheter/ritzau_-leger-uten-grenser-evakuerer-alle-ansatte-ut-av-gaza-by---1.17588320,2025-09-26T17:07:55+00:00,NO,True,False,2.038808792820509,2.038808792820509,5nano
main,main,Politikk,0.55,Sveriges Radio – Radio Sweden (EN) program,https://www.sverigesradio.se/radiosweden,rss,Upcoming proposal: Permanent resident permits for asylum seekers may be revoked,"<ul><li><p>Swedish Radio News understands that a government appointed investigator is set to soon announce that asylum seekers and their relatives among others who've been  granted permanent residence permits may have them revoked and replaced by temporary residence permits until they can apply for citizenship.</p></li><li><p>This is the second part of an inquiry, backed by the government and Sweden Democrats, into a change to migration policy and the right to remain in Sweden.</p></li><li><p>The proposed changes will not affect those who have applied for and received a work permit and EU citizens.</p></li></ul>",https://www.sverigesradio.se/artikel/9055860,2025-09-25T17:11:00+02:00,SE,True,False,2.025812003970814,2.025812003970814,5nano
main,main,Politikk,0.55,Sveriges Radio – Radio Sweden (EN) program,https://www.sverigesradio.se/radiosweden,rss,Social Democrats say yes to sending prisoners to Estonia,"<ul><li><p>The largest party in Sweden's parliament, the Social Democrats, has declared its support for the government's proposal to rent prison cells in Estonia to alleviate prison overcrowding.</p></li><li><p>The opposition party said on Thursday that the situation has become urgent.</p></li><li><p>It means there is now enough support in parliament for ratifying the agreement signed in June between Sweden and Estonia that provides Sweden with 400 cells for up to 600 inmates.</p></li></ul>",https://www.sverigesradio.se/artikel/9055732,2025-09-25T15:27:00+02:00,SE,True,False,2.025247213402907,2.025247213402907,5nano
main,main,Politikk,0.55,Sveriges Radio – Radio Sweden (EN) program,https://www.sverigesradio.se/radiosweden,rss,Sweden's Defence Minister on drones: Ready to defend Swedish airspace,"<ul><li><p>If Sweden's airspace is violated by drones or fighter jets, then Sweden has the right to shoot them down.</p></li><li><p>Defence Minister Pål Jonson has been giving his views to media after recent violations of Nato airspace.</p></li><li><p>On Monday evening, Denmark and Norway were forced to close their main airports due to drone sightings.</p></li></ul>",https://www.sverigesradio.se/artikel/9054491,2025-09-24T11:21:00+02:00,SE,True,False,1.9386364337390565,1.9386364337390565,5nano
nnuk,nnuk,Politikk,0.55,Radio Prague International (EN),https://english.radio.cz/,rss,Government to discuss January pension hikes,"The government will discuss a regulation on the January indexation of old-age, disability, and survivors’ pensions on Wednesday. According to the proposal, pensions will increase by 240 crowns, and for most recipients, the merit-based percentage component will also rise by 2.6 percent. The average old-age pension should thus increase by 668 crowns to 21,786 crowns. The cabinet will also consider a regulation that, among other things, tightens the rules for recognizing COVID-19 as an occupational disease.",https://english.radio.cz/government-discuss-january-pension-hikes-8863619,2025-09-24T08:21:00+02:00,CZ,False,False,2.018129627023169,2.018129627023169,5nano
main,main,Kultur,0.55,The Guardian (UK),https://www.theguardian.com/uk,rss,Cinderella review – fun-forward fairytale kicks off ENO makeover,"<p><strong>London Coliseum</strong> <br />Julia Burbach’s energetic staging of Rossini sets the tone for English National Opera’s new split-site era, bringing lashings of chorus comedy and a pacy conductor’s debut by Yi-Chen Lin</p><p>• <a href=""https://www.theguardian.com/music/2025/sep/25/eno-behind-the-scenes-cinderella-la-cenerentola"">Picture essay: behind the scenes of the ENO’s new production</a></p><p></p><p>A new production of an opera based on a story we all know, a clutch of company debuts – including both conductor and director – and a red carpet rolled out on the tarmac outside. After the turbulence and uncertainty of recent years, English National Opera opened its first season <a href=""https://www.theguardian.com/music/2023/dec/05/english-national-opera-announces-greater-manchester-will-be-its-new-home"">split between the London Coliseum and its new home in Manchester</a> with an energetic display of institutional confidence. Not to mention a clear commitment to all things fun.</p><p>Like other variants, Rossini’s take on the Cinderella story – usually known as La Cenerentola– is a rags-to-riches tale featuring a downtrodden heroine, her dreadful stepsisters and their equally awful father Don Magnifico. Plus a prince, his valet and a fairy godmother character that Rossini and his librettist transformed into a male philosopher, Alidoro. <a href=""https://www.theguardian.com/music/2025/sep/25/eno-behind-the-scenes-cinderella-la-cenerentola"">Julia Burbach’s colourful, contemporary-ish staging</a> plays wittily with the story’s familiarity. A small team of uniformed mice equipped with clipboards, iPads and walkie talkies help Alidoro to keep the plot on track. Various shoes are handed around (although the operatic prince’s chosen form of bridal ID is a bracelet). And, instead of a pumpkin carriage, the stage is dominated throughout by a large metal-doored lift, which delivers the transformed Cinders to the party at the crucial moment.</p> <a href=""https://www.theguardian.com/music/2025/sep/28/cinderella-review-london-coliseum-eno-english-national-opera"">Continue reading...</a>",https://www.theguardian.com/music/2025/sep/28/cinderella-review-london-coliseum-eno-english-national-opera,2025-09-28T14:05:00+00:00,INT,False,False,2.3037986177515046,2.3037986177515046,5nano
